Location,Property_Type,Bedrooms,Bathrooms,House_Size_sqm,Lot_Size_sqm,Year_Built,Furnishing,Water_Supply,Power_Supply,Annual_Rent_NGN
Ajibode,Self Contained,1,1,37,422,2016,Unfurnished,Well,Moderate,281000
Bodija,Self Contained,1,1,34,766,2012,Semi-Furnished,Borehole,Stable,375000
Challenge,Mini Flat,1,2,59,541,2011,Unfurnished,Public,Moderate,468000
Oluyole,Room,1,1,18,447,1999,Fully Furnished,Well,Moderate,424000
Akobo,Mini Flat,1,2,47,460,1994,Fully Furnished,Borehole,Moderate,918000
Ring Road,Room,1,1,29,548,1993,Unfurnished,Well,Moderate,150000
Ajibode,2 Bedroom Flat,2,2,83,730,2005,Semi-Furnished,Well,Stable,927000
Bodija,Room,1,1,28,521,2021,Unfurnished,Borehole,Moderate,357000
Challenge,Mini Flat,1,2,49,692,2000,Semi-Furnished,Well,Moderate,453000
Bodija,Self Contained,1,1,32,634,2022,Unfurnished,Public,Moderate,422000
Agbowo,2 Bedroom Flat,2,2,92,391,1993,Unfurnished,Well,Stable,749000
Ajibode,Room,1,1,21,391,2012,Unfurnished,Borehole,Moderate,206000
Ring Road,Self Contained,1,1,37,468,1992,Unfurnished,Well,Stable,255000
Bodija,Room,1,1,25,309,2009,Fully Furnished,Well,Moderate,432000
Ring Road,Room,1,1,28,457,1990,Semi-Furnished,Public,Stable,230000
Akobo,Self Contained,1,1,34,822,2022,Unfurnished,Well,Moderate,394000
Oluyole,Mini Flat,1,2,62,544,1999,Unfurnished,Borehole,Stable,569000
Challenge,Self Contained,1,1,31,412,1992,Unfurnished,Public,Moderate,270000
Akobo,Room,1,1,28,894,2021,Unfurnished,Borehole,Poor,260000
Agbowo,Mini Flat,1,2,48,382,2020,Unfurnished,Borehole,Stable,534000
Bodija,Self Contained,1,1,29,376,2010,Semi-Furnished,Public,Moderate,428000
Challenge,Self Contained,1,1,35,771,2013,Fully Furnished,Borehole,Moderate,364000
Agbowo,2 Bedroom Flat,2,2,94,669,2013,Semi-Furnished,Public,Stable,810000
Agbowo,Room,1,1,29,526,1999,Unfurnished,Borehole,Moderate,160000
Ajibode,Self Contained,1,1,35,699,1995,Unfurnished,Borehole,Stable,296000
Ring Road,Self Contained,1,1,28,604,2017,Unfurnished,Well,Stable,270000
Ajibode,Mini Flat,1,2,62,336,1990,Semi-Furnished,Public,Moderate,543000
Akobo,Self Contained,1,1,27,200,1999,Unfurnished,Public,Moderate,393000
Agbowo,Mini Flat,1,2,53,447,2019,Fully Furnished,Borehole,Moderate,689000
Agbowo,2 Bedroom Flat,2,2,78,745,2004,Semi-Furnished,Borehole,Moderate,911000
Oluyole,Mini Flat,1,2,50,472,2003,Unfurnished,Borehole,Poor,582000
Ajibode,Self Contained,1,1,25,632,2013,Unfurnished,Borehole,Moderate,240000
Akobo,3 Bedroom Flat,3,3,155,583,1999,Semi-Furnished,Borehole,Moderate,1545000
Challenge,Mini Flat,1,2,57,245,2015,Semi-Furnished,Well,Moderate,569000
Mokola,2 Bedroom Flat,2,2,96,476,1990,Unfurnished,Borehole,Moderate,643000
Ajibode,Room,1,1,18,614,2009,Unfurnished,Public,Stable,208000
Ring Road,Self Contained,1,1,30,408,2018,Fully Furnished,Borehole,Stable,414000
Akobo,Self Contained,1,1,36,484,2023,Semi-Furnished,Borehole,Poor,444000
Ring Road,2 Bedroom Flat,2,2,85,620,1991,Unfurnished,Borehole,Moderate,607000
Bodija,Self Contained,1,1,37,563,1991,Unfurnished,Well,Stable,496000
Bodija,3 Bedroom Flat,3,3,154,738,1991,Semi-Furnished,Public,Moderate,2059000
Ring Road,Room,1,1,18,619,1997,Semi-Furnished,Well,Moderate,169000
Ring Road,3 Bedroom Flat,3,3,112,377,2014,Fully Furnished,Well,Stable,1595000
Bodija,3 Bedroom Flat,3,3,133,464,2007,Semi-Furnished,Borehole,Stable,1407000
Agbowo,2 Bedroom Flat,2,2,75,553,2006,Semi-Furnished,Borehole,Stable,787000
Agbowo,Room,1,1,28,790,2019,Semi-Furnished,Borehole,Moderate,225000
Agbowo,2 Bedroom Flat,2,2,80,464,1997,Fully Furnished,Well,Stable,905000
Agbowo,Self Contained,1,1,29,238,2018,Unfurnished,Well,Stable,302000
Agbowo,Self Contained,1,1,33,629,2008,Unfurnished,Well,Stable,342000
Mokola,Mini Flat,1,2,50,413,2013,Unfurnished,Borehole,Moderate,474000
Ajibode,2 Bedroom Flat,2,2,93,318,2007,Fully Furnished,Well,Poor,908000
Oluyole,Room,1,1,27,553,1999,Semi-Furnished,Borehole,Stable,228000
Ajibode,3 Bedroom Flat,3,3,138,725,2005,Semi-Furnished,Borehole,Stable,1276000
Agbowo,Room,1,1,27,446,1994,Unfurnished,Borehole,Poor,227000
Ajibode,Mini Flat,1,2,48,639,2004,Unfurnished,Borehole,Stable,429000
Agbowo,Self Contained,1,1,28,672,2012,Unfurnished,Well,Moderate,350000
Challenge,3 Bedroom Flat,3,3,142,692,2020,Unfurnished,Well,Moderate,699000
Ring Road,Room,1,1,27,418,2019,Unfurnished,Public,Moderate,200000
Agbowo,Room,1,1,18,348,1996,Semi-Furnished,Borehole,Poor,242000
Bodija,Room,1,1,28,372,2009,Unfurnished,Borehole,Stable,273000
Bodija,Room,1,1,21,692,1992,Unfurnished,Well,Poor,264000
Ring Road,Mini Flat,1,2,64,670,1992,Semi-Furnished,Public,Moderate,592000
Challenge,Room,1,1,19,377,2020,Semi-Furnished,Public,Poor,204000
Bodija,3 Bedroom Flat,3,3,116,933,1996,Fully Furnished,Well,Moderate,3045000
Oluyole,2 Bedroom Flat,2,2,95,356,1990,Unfurnished,Public,Moderate,1132000
Mokola,Room,1,1,25,729,2016,Unfurnished,Borehole,Stable,178000
Ajibode,Self Contained,1,1,32,823,1990,Unfurnished,Public,Moderate,357000
Agbowo,Mini Flat,1,2,53,569,1995,Unfurnished,Borehole,Stable,436000
Ring Road,3 Bedroom Flat,3,3,143,411,2009,Semi-Furnished,Well,Stable,1204000
Challenge,2 Bedroom Flat,2,2,80,415,1992,Semi-Furnished,Borehole,Poor,877000
Bodija,Self Contained,1,1,38,502,1991,Semi-Furnished,Borehole,Poor,517000
Bodija,Room,1,1,19,744,2021,Unfurnished,Borehole,Moderate,286000
Agbowo,Self Contained,1,1,37,334,2009,Unfurnished,Borehole,Moderate,296000
Bodija,3 Bedroom Flat,3,3,156,219,2016,Unfurnished,Borehole,Stable,1585000
Akobo,Room,1,1,21,615,2009,Unfurnished,Public,Poor,275000
Agbowo,Room,1,1,24,654,2008,Semi-Furnished,Borehole,Moderate,221000
Oluyole,Self Contained,1,1,32,904,2010,Semi-Furnished,Borehole,Moderate,399000
Mokola,Mini Flat,1,2,56,301,2009,Unfurnished,Well,Moderate,464000
Ajibode,2 Bedroom Flat,2,2,92,525,1994,Unfurnished,Well,Stable,616000
Bodija,2 Bedroom Flat,2,2,74,759,2009,Unfurnished,Borehole,Moderate,984000
Agbowo,Room,1,1,21,571,2001,Semi-Furnished,Borehole,Stable,281000
Oluyole,Room,1,1,24,514,1999,Semi-Furnished,Public,Moderate,213000
Agbowo,Room,1,1,29,692,2011,Unfurnished,Borehole,Moderate,212000
Akobo,Room,1,1,18,442,2017,Semi-Furnished,Borehole,Moderate,315000
Ring Road,3 Bedroom Flat,3,3,130,703,2001,Unfurnished,Public,Moderate,1117000
Agbowo,Room,1,1,18,324,1999,Unfurnished,Borehole,Moderate,232000
Ring Road,Duplex,4,4,191,276,2006,Semi-Furnished,Public,Moderate,2170000
Ologuneru,Self Contained,1,1,26,500,2016,Unfurnished,Public,Moderate,281000
Ajibode,Self Contained,1,1,32,200,2018,Unfurnished,Well,Stable,312000
Agbowo,Mini Flat,1,2,52,565,2015,Fully Furnished,Borehole,Stable,582000
Apata,Self Contained,1,1,36,238,1998,Fully Furnished,Borehole,Stable,361000
Apata,Self Contained,1,1,34,600,2001,Unfurnished,Borehole,Stable,195000
Ajibode,Room,1,1,20,583,2015,Semi-Furnished,Well,Stable,233000
Ajibode,Mini Flat,1,2,47,537,2022,Unfurnished,Borehole,Poor,497000
Ajibode,Room,1,1,23,628,2021,Unfurnished,Borehole,Poor,204000
Ologuneru,Self Contained,1,1,37,586,2000,Fully Furnished,Borehole,Moderate,380000
Ajibode,Room,1,1,24,497,2018,Semi-Furnished,Well,Poor,208000
Bodija,Self Contained,1,1,28,879,1997,Semi-Furnished,Public,Stable,441000
Mokola,Duplex,4,4,269,620,2014,Unfurnished,Well,Stable,1661000
Ajibode,Room,1,1,26,688,2009,Unfurnished,Borehole,Stable,234000
Akobo,2 Bedroom Flat,2,2,76,743,2010,Unfurnished,Public,Poor,819000
Agbowo,3 Bedroom Flat,3,3,130,670,1993,Fully Furnished,Well,Stable,1357000
Mokola,Room,1,1,25,921,2018,Semi-Furnished,Public,Moderate,194000
Agbowo,Room,1,1,19,579,2008,Fully Furnished,Borehole,Moderate,294000
Oluyole,Room,1,1,28,548,2015,Semi-Furnished,Public,Moderate,192000
Oluyole,2 Bedroom Flat,2,2,94,433,2014,Unfurnished,Well,Moderate,793000
Agbowo,Mini Flat,1,2,45,503,2012,Unfurnished,Borehole,Moderate,542000
Ajibode,Mini Flat,1,2,55,418,2017,Semi-Furnished,Borehole,Stable,542000
Agbowo,2 Bedroom Flat,2,2,90,671,2000,Unfurnished,Well,Stable,735000
Agbowo,Self Contained,1,1,35,385,2018,Semi-Furnished,Well,Poor,404000
Challenge,Room,1,1,27,563,2009,Unfurnished,Borehole,Moderate,153000
Challenge,Self Contained,1,1,32,650,1998,Unfurnished,Public,Moderate,217000
Bodija,3 Bedroom Flat,3,3,136,577,2013,Semi-Furnished,Borehole,Stable,1781000
Akobo,Room,1,1,22,388,2002,Unfurnished,Borehole,Poor,267000
Akobo,Mini Flat,1,2,50,675,1991,Unfurnished,Borehole,Poor,675000
Mokola,Room,1,1,23,534,2006,Unfurnished,Borehole,Moderate,185000
Agbowo,Room,1,1,29,200,2016,Unfurnished,Well,Poor,226000
Agbowo,Room,1,1,19,372,1991,Unfurnished,Borehole,Stable,217000
Agbowo,2 Bedroom Flat,2,2,80,802,2022,Unfurnished,Public,Poor,660000
Bodija,Room,1,1,29,817,1994,Fully Furnished,Borehole,Moderate,367000
Bodija,Mini Flat,1,2,60,644,2003,Semi-Furnished,Borehole,Stable,825000
Bodija,Mini Flat,1,2,61,691,2016,Unfurnished,Borehole,Moderate,653000
Ajibode,Room,1,1,25,409,2016,Unfurnished,Public,Stable,176000
Oluyole,Room,1,1,28,503,2003,Unfurnished,Borehole,Poor,192000
Ajibode,Self Contained,1,1,39,772,2004,Unfurnished,Public,Poor,296000
Ajibode,2 Bedroom Flat,2,2,89,626,2016,Unfurnished,Borehole,Poor,570000
Agbowo,2 Bedroom Flat,2,2,70,561,1997,Unfurnished,Well,Moderate,755000
Agbowo,Self Contained,1,1,33,516,2010,Fully Furnished,Well,Moderate,434000
Akobo,3 Bedroom Flat,3,3,136,761,2023,Unfurnished,Borehole,Stable,1190000
Agbowo,2 Bedroom Flat,2,2,92,751,2017,Unfurnished,Borehole,Moderate,698000
Bodija,2 Bedroom Flat,2,2,71,666,2013,Fully Furnished,Well,Moderate,1362000
Bodija,Room,1,1,26,561,2006,Unfurnished,Borehole,Poor,272000
Ajibode,Room,1,1,29,485,1995,Unfurnished,Well,Moderate,206000
Ajibode,Room,1,1,25,674,2008,Fully Furnished,Borehole,Poor,271000
Ring Road,Room,1,1,22,351,1990,Semi-Furnished,Well,Stable,230000
Agbowo,3 Bedroom Flat,3,3,136,388,2015,Unfurnished,Borehole,Stable,1031000
Agbowo,Self Contained,1,1,34,288,1994,Unfurnished,Public,Moderate,374000
Ajibode,2 Bedroom Flat,2,2,78,772,1993,Unfurnished,Well,Stable,782000
Bodija,Self Contained,1,1,28,420,2014,Fully Furnished,Borehole,Moderate,647000
Bodija,Self Contained,1,1,31,622,2011,Semi-Furnished,Borehole,Stable,523000
Bodija,Room,1,1,27,527,2002,Semi-Furnished,Public,Moderate,251000
Oluyole,Self Contained,1,1,38,1071,2012,Unfurnished,Borehole,Moderate,430000
Ajibode,Mini Flat,1,2,48,629,2022,Fully Furnished,Borehole,Moderate,672000
Agbowo,Mini Flat,1,2,61,214,2014,Semi-Furnished,Well,Poor,460000
Mokola,Room,1,1,25,761,1999,Fully Furnished,Well,Poor,272000
Apata,Room,1,1,22,480,2007,Fully Furnished,Borehole,Moderate,240000
Ajibode,Self Contained,1,1,32,513,2016,Unfurnished,Well,Moderate,330000
Bodija,2 Bedroom Flat,2,2,87,428,2015,Unfurnished,Well,Moderate,1042000
Ajibode,Mini Flat,1,2,51,585,1991,Unfurnished,Borehole,Moderate,471000
Ajibode,Mini Flat,1,2,45,582,1999,Semi-Furnished,Borehole,Poor,549000
Agbowo,Mini Flat,1,2,62,433,2009,Semi-Furnished,Borehole,Stable,636000
Ajibode,Self Contained,1,1,26,458,1992,Semi-Furnished,Public,Moderate,301000
Oluyole,Room,1,1,19,568,1999,Fully Furnished,Borehole,Poor,344000
Bodija,Room,1,1,19,200,2017,Unfurnished,Borehole,Stable,278000
Ajibode,Mini Flat,1,2,45,290,2008,Unfurnished,Well,Stable,519000
Ajibode,Self Contained,1,1,35,850,2006,Unfurnished,Public,Moderate,250000
Challenge,Room,1,1,27,609,2012,Unfurnished,Public,Poor,137000
Ajibode,Mini Flat,1,2,48,455,2017,Fully Furnished,Public,Moderate,665000
Akobo,2 Bedroom Flat,2,2,99,244,2016,Unfurnished,Well,Moderate,800000
Agbowo,Self Contained,1,1,34,539,2021,Semi-Furnished,Well,Moderate,354000
Akobo,Room,1,1,18,727,2001,Unfurnished,Borehole,Stable,220000
Agbowo,Self Contained,1,1,38,1025,2009,Semi-Furnished,Well,Moderate,332000
Ajibode,Room,1,1,22,890,1995,Unfurnished,Well,Stable,211000
Agbowo,Self Contained,1,1,31,390,1992,Fully Furnished,Borehole,Stable,400000
Ajibode,Duplex,4,4,247,460,1992,Semi-Furnished,Well,Poor,2315000
Agbowo,Mini Flat,1,2,56,285,2012,Semi-Furnished,Public,Moderate,573000
Akobo,Room,1,1,26,398,1998,Unfurnished,Borehole,Stable,266000
Agbowo,Room,1,1,29,511,2022,Unfurnished,Borehole,Poor,232000
Ajibode,Mini Flat,1,2,50,483,2001,Unfurnished,Well,Stable,573000
Bodija,2 Bedroom Flat,2,2,88,919,2015,Unfurnished,Public,Moderate,1265000
Akobo,Self Contained,1,1,37,313,1999,Semi-Furnished,Well,Moderate,562000
Ologuneru,Room,1,1,27,541,2000,Unfurnished,Borehole,Moderate,166000
Akobo,3 Bedroom Flat,3,3,155,200,2008,Unfurnished,Borehole,Moderate,1412000
Bodija,2 Bedroom Flat,2,2,82,609,1994,Semi-Furnished,Borehole,Moderate,1244000
Akobo,Mini Flat,1,2,60,308,2013,Semi-Furnished,Public,Poor,552000
Apata,2 Bedroom Flat,2,2,79,748,2017,Unfurnished,Well,Moderate,556000
Mokola,Self Contained,1,1,30,497,2019,Semi-Furnished,Well,Poor,400000
Agbowo,Mini Flat,1,2,45,297,2008,Unfurnished,Well,Stable,488000
Agbowo,Room,1,1,21,200,1995,Semi-Furnished,Well,Moderate,138000
Agbowo,Self Contained,1,1,29,373,2008,Unfurnished,Borehole,Poor,276000
Bodija,Mini Flat,1,2,49,593,2020,Unfurnished,Well,Stable,723000
Challenge,Mini Flat,1,2,49,625,2000,Unfurnished,Borehole,Stable,458000
Bodija,Mini Flat,1,2,49,460,2006,Semi-Furnished,Well,Moderate,837000
Ajibode,Mini Flat,1,2,60,716,2006,Semi-Furnished,Borehole,Stable,649000
Oluyole,Room,1,1,22,345,2004,Unfurnished,Borehole,Poor,250000
Challenge,Self Contained,1,1,34,200,1995,Unfurnished,Borehole,Stable,221000
Agbowo,2 Bedroom Flat,2,2,97,600,2021,Unfurnished,Borehole,Stable,706000
Oluyole,Self Contained,1,1,29,782,2000,Fully Furnished,Well,Poor,548000
Agbowo,Self Contained,1,1,32,783,2002,Unfurnished,Borehole,Moderate,314000
Ring Road,Self Contained,1,1,38,316,2006,Unfurnished,Borehole,Poor,310000
Mokola,Room,1,1,20,451,2017,Semi-Furnished,Well,Moderate,186000
Bodija,3 Bedroom Flat,3,3,132,680,2007,Semi-Furnished,Public,Stable,1667000
Oluyole,2 Bedroom Flat,2,2,78,437,2017,Unfurnished,Borehole,Moderate,595000
Ring Road,3 Bedroom Flat,3,3,125,568,2005,Semi-Furnished,Well,Poor,1192000
Bodija,Self Contained,1,1,38,421,2009,Unfurnished,Public,Moderate,452000
Agbowo,Mini Flat,1,2,62,353,2016,Fully Furnished,Borehole,Poor,820000
Challenge,Self Contained,1,1,30,388,2022,Fully Furnished,Borehole,Stable,323000
Agbowo,Self Contained,1,1,38,722,1991,Unfurnished,Public,Moderate,267000
Agbowo,Self Contained,1,1,25,552,2002,Unfurnished,Well,Poor,343000
Mokola,Mini Flat,1,2,53,778,1991,Unfurnished,Borehole,Moderate,457000
Oluyole,Mini Flat,1,2,47,643,1994,Fully Furnished,Borehole,Moderate,669000
Agbowo,2 Bedroom Flat,2,2,96,839,1995,Semi-Furnished,Borehole,Moderate,817000
Ajibode,Room,1,1,24,697,2021,Unfurnished,Borehole,Stable,217000
Agbowo,Mini Flat,1,2,60,686,2013,Unfurnished,Borehole,Poor,568000
Agbowo,Room,1,1,28,528,2006,Fully Furnished,Borehole,Stable,298000
Ajibode,Mini Flat,1,2,47,1091,1998,Unfurnished,Borehole,Poor,505000
Challenge,Mini Flat,1,2,45,570,1991,Unfurnished,Borehole,Moderate,411000
Agbowo,Self Contained,1,1,37,200,1998,Unfurnished,Borehole,Stable,278000
Bodija,Room,1,1,19,598,1995,Unfurnished,Borehole,Moderate,217000
Agbowo,2 Bedroom Flat,2,2,94,373,2008,Fully Furnished,Well,Poor,1003000
Ologuneru,Room,1,1,22,733,2022,Fully Furnished,Public,Moderate,246000
Agbowo,Self Contained,1,1,31,680,2008,Semi-Furnished,Well,Moderate,379000
Ajibode,Room,1,1,27,515,2022,Unfurnished,Borehole,Moderate,145000
Ajibode,Mini Flat,1,2,61,390,2019,Semi-Furnished,Borehole,Poor,543000
Akobo,Room,1,1,29,576,2002,Semi-Furnished,Borehole,Stable,303000
Akobo,Duplex,4,4,263,434,2007,Semi-Furnished,Well,Moderate,3026000
Agbowo,Room,1,1,22,691,1991,Unfurnished,Well,Moderate,178000
Agbowo,2 Bedroom Flat,2,2,84,650,1992,Unfurnished,Well,Moderate,728000
Ajibode,Mini Flat,1,2,52,1078,1995,Semi-Furnished,Well,Poor,590000
Bodija,Room,1,1,29,469,2017,Unfurnished,Public,Stable,304000
Bodija,Room,1,1,21,495,2002,Unfurnished,Public,Poor,216000
Ajibode,Room,1,1,27,522,2009,Fully Furnished,Borehole,Moderate,263000
Ajibode,2 Bedroom Flat,2,2,78,530,2021,Semi-Furnished,Borehole,Moderate,839000
Ajibode,Mini Flat,1,2,55,734,2020,Unfurnished,Borehole,Moderate,497000
Ajibode,2 Bedroom Flat,2,2,81,500,1998,Unfurnished,Borehole,Moderate,765000
Akobo,Self Contained,1,1,33,905,1992,Unfurnished,Well,Moderate,404000
Ajibode,3 Bedroom Flat,3,3,129,654,2020,Fully Furnished,Borehole,Poor,908000
Agbowo,Mini Flat,1,2,49,462,2004,Unfurnished,Well,Moderate,577000
Ajibode,Self Contained,1,1,31,416,1993,Unfurnished,Well,Moderate,330000
Apata,Room,1,1,24,737,2006,Unfurnished,Borehole,Stable,156000
Mokola,Room,1,1,22,555,2020,Fully Furnished,Borehole,Moderate,255000
Agbowo,2 Bedroom Flat,2,2,71,551,2018,Fully Furnished,Public,Moderate,977000
Agbowo,Room,1,1,22,442,2000,Semi-Furnished,Well,Stable,246000
Ajibode,Room,1,1,26,538,2021,Unfurnished,Borehole,Moderate,221000
Bodija,Self Contained,1,1,32,434,1992,Unfurnished,Borehole,Poor,394000
Ajibode,Mini Flat,1,2,52,795,1990,Unfurnished,Well,Moderate,469000
Oluyole,2 Bedroom Flat,2,2,74,679,1997,Unfurnished,Borehole,Stable,1028000
Bodija,2 Bedroom Flat,2,2,87,518,2006,Unfurnished,Borehole,Stable,1007000
Ring Road,Mini Flat,1,2,49,515,1997,Unfurnished,Borehole,Moderate,529000
Ajibode,Self Contained,1,1,29,566,2022,Unfurnished,Borehole,Moderate,374000
Challenge,Duplex,4,4,198,549,2015,Unfurnished,Public,Moderate,2320000
Challenge,3 Bedroom Flat,3,3,129,377,1991,Unfurnished,Borehole,Stable,1068000
Ajibode,Self Contained,1,1,26,207,2018,Unfurnished,Public,Moderate,304000
Agbowo,Room,1,1,24,406,2004,Unfurnished,Borehole,Moderate,210000
Ajibode,2 Bedroom Flat,2,2,84,526,2019,Semi-Furnished,Public,Stable,839000
Agbowo,Room,1,1,22,417,2001,Fully Furnished,Borehole,Stable,258000
Agbowo,2 Bedroom Flat,2,2,82,697,1991,Unfurnished,Borehole,Moderate,759000
Bodija,Room,1,1,24,508,2010,Unfurnished,Borehole,Poor,281000
Agbowo,Self Contained,1,1,25,887,2018,Unfurnished,Borehole,Stable,425000
Apata,Room,1,1,25,448,2018,Semi-Furnished,Well,Moderate,175000
Ajibode,Room,1,1,27,575,2005,Unfurnished,Well,Stable,207000
Ologuneru,Room,1,1,26,498,2020,Unfurnished,Borehole,Stable,148000
Agbowo,Self Contained,1,1,28,629,2022,Semi-Furnished,Borehole,Moderate,401000
Challenge,Room,1,1,20,741,1991,Unfurnished,Well,Moderate,167000
Agbowo,2 Bedroom Flat,2,2,78,659,1993,Semi-Furnished,Well,Poor,965000
Ajibode,2 Bedroom Flat,2,2,81,200,1994,Unfurnished,Borehole,Moderate,779000
Mokola,Room,1,1,22,639,1991,Fully Furnished,Well,Moderate,216000
Agbowo,2 Bedroom Flat,2,2,80,368,1997,Semi-Furnished,Public,Moderate,976000
Akobo,Duplex,4,4,198,494,1995,Unfurnished,Borehole,Stable,2704000
Akobo,Room,1,1,23,674,1999,Semi-Furnished,Public,Poor,271000
Bodija,Mini Flat,1,2,50,348,1993,Unfurnished,Well,Poor,790000
Bodija,Room,1,1,29,758,2003,Fully Furnished,Borehole,Poor,441000
Oluyole,Mini Flat,1,2,53,486,2001,Unfurnished,Borehole,Poor,706000
Ajibode,Room,1,1,29,940,2006,Unfurnished,Borehole,Poor,209000
Oluyole,2 Bedroom Flat,2,2,83,562,2010,Unfurnished,Borehole,Moderate,726000
Ring Road,Room,1,1,21,856,2002,Unfurnished,Well,Poor,177000
Ajibode,Room,1,1,22,765,2022,Unfurnished,Well,Stable,183000
Ajibode,Duplex,4,4,291,440,2002,Semi-Furnished,Public,Poor,2558000
Oluyole,2 Bedroom Flat,2,2,97,315,1998,Unfurnished,Borehole,Moderate,755000
Agbowo,2 Bedroom Flat,2,2,84,570,2009,Unfurnished,Public,Moderate,766000
Agbowo,Room,1,1,22,445,1990,Unfurnished,Well,Moderate,206000
Ajibode,Self Contained,1,1,35,834,2002,Fully Furnished,Well,Stable,439000
Bodija,2 Bedroom Flat,2,2,96,505,2011,Semi-Furnished,Well,Poor,1329000
Ajibode,Self Contained,1,1,32,495,2002,Semi-Furnished,Borehole,Stable,307000
Bodija,Mini Flat,1,2,53,298,1990,Semi-Furnished,Public,Moderate,900000
Challenge,2 Bedroom Flat,2,2,83,625,2022,Unfurnished,Public,Poor,622000
Agbowo,Room,1,1,29,338,1994,Unfurnished,Borehole,Stable,233000
Bodija,Mini Flat,1,2,50,629,2019,Fully Furnished,Well,Stable,1110000
Ologuneru,Room,1,1,21,654,1994,Fully Furnished,Borehole,Stable,194000
Oluyole,Mini Flat,1,2,55,415,2014,Unfurnished,Borehole,Moderate,618000
Mokola,3 Bedroom Flat,3,3,110,722,2015,Unfurnished,Borehole,Stable,1072000
Agbowo,Self Contained,1,1,37,500,2008,Fully Furnished,Public,Poor,375000
Challenge,Mini Flat,1,2,62,285,2001,Fully Furnished,Borehole,Moderate,639000
Ajibode,Self Contained,1,1,26,828,1997,Semi-Furnished,Well,Moderate,323000
Ajibode,Room,1,1,27,383,1999,Semi-Furnished,Borehole,Moderate,260000
Ajibode,Room,1,1,24,641,2007,Unfurnished,Borehole,Stable,189000
Agbowo,Room,1,1,28,626,2000,Unfurnished,Borehole,Stable,189000
Mokola,Self Contained,1,1,27,620,2019,Unfurnished,Well,Poor,330000
Agbowo,Mini Flat,1,2,63,616,1994,Unfurnished,Well,Moderate,379000
Akobo,Room,1,1,22,375,2013,Unfurnished,Borehole,Moderate,274000
Oluyole,Room,1,1,18,854,2002,Semi-Furnished,Borehole,Moderate,304000
Akobo,2 Bedroom Flat,2,2,95,722,2016,Unfurnished,Well,Moderate,940000
Agbowo,3 Bedroom Flat,3,3,154,635,2021,Semi-Furnished,Well,Poor,1351000
Akobo,Mini Flat,1,2,45,310,2003,Unfurnished,Well,Moderate,731000
Agbowo,Room,1,1,20,373,1991,Unfurnished,Borehole,Moderate,183000
Ajibode,Self Contained,1,1,35,668,1993,Unfurnished,Borehole,Stable,279000
Ologuneru,Self Contained,1,1,36,200,2000,Semi-Furnished,Borehole,Stable,309000
Ajibode,Room,1,1,29,610,2002,Unfurnished,Well,Moderate,199000
Ajibode,2 Bedroom Flat,2,2,74,310,1998,Unfurnished,Borehole,Moderate,766000
Ring Road,Self Contained,1,1,28,393,2016,Unfurnished,Well,Moderate,300000
Agbowo,Room,1,1,23,296,1991,Unfurnished,Public,Moderate,217000
Akobo,Room,1,1,22,594,2016,Semi-Furnished,Well,Stable,303000
Agbowo,Mini Flat,1,2,51,750,2001,Semi-Furnished,Borehole,Stable,584000
Agbowo,2 Bedroom Flat,2,2,90,612,2001,Unfurnished,Borehole,Moderate,825000
Agbowo,Mini Flat,1,2,47,632,1992,Semi-Furnished,Borehole,Stable,678000
Agbowo,2 Bedroom Flat,2,2,92,580,2015,Semi-Furnished,Borehole,Stable,776000
Agbowo,2 Bedroom Flat,2,2,93,672,2004,Unfurnished,Borehole,Stable,612000
Oluyole,Room,1,1,21,634,2016,Fully Furnished,Public,Stable,308000
Bodija,Self Contained,1,1,31,200,2002,Unfurnished,Public,Stable,397000
Apata,Mini Flat,1,2,49,713,1994,Semi-Furnished,Borehole,Poor,395000
Ajibode,Room,1,1,27,694,2006,Semi-Furnished,Borehole,Moderate,227000
Bodija,Self Contained,1,1,34,484,2008,Semi-Furnished,Borehole,Moderate,546000
Akobo,Self Contained,1,1,37,200,2009,Unfurnished,Well,Stable,433000
Apata,2 Bedroom Flat,2,2,90,593,2012,Semi-Furnished,Well,Poor,653000
Ajibode,Room,1,1,19,608,2001,Semi-Furnished,Borehole,Stable,230000
Akobo,Room,1,1,21,470,2021,Semi-Furnished,Well,Stable,333000
Mokola,Self Contained,1,1,28,583,2018,Semi-Furnished,Well,Poor,349000
Agbowo,2 Bedroom Flat,2,2,71,742,1994,Unfurnished,Well,Poor,782000
Ring Road,Room,1,1,21,981,1991,Unfurnished,Borehole,Moderate,142000
Ajibode,Room,1,1,18,576,1995,Semi-Furnished,Well,Poor,235000
Oluyole,Mini Flat,1,2,53,610,2010,Semi-Furnished,Borehole,Moderate,733000
Apata,Room,1,1,25,401,2004,Unfurnished,Borehole,Stable,162000
Akobo,Room,1,1,25,459,2007,Unfurnished,Borehole,Poor,276000
Agbowo,Duplex,4,4,270,525,1991,Unfurnished,Public,Stable,1856000
Ajibode,Room,1,1,24,761,1994,Semi-Furnished,Public,Stable,256000
Apata,Self Contained,1,1,26,697,1995,Unfurnished,Borehole,Stable,265000
Bodija,Room,1,1,28,897,2008,Unfurnished,Borehole,Stable,254000
Ajibode,Self Contained,1,1,26,281,2005,Unfurnished,Borehole,Moderate,353000
Oluyole,Self Contained,1,1,35,311,2001,Semi-Furnished,Borehole,Moderate,416000
